order_id,order_date,customer,region,category,product,quantity,unit_price,revenue
2530,2024-12-08,Customer 56,East,Sports,Tennis Racket,2,49.16,160.19
1948,2024-07-29,Customer 30,North,Sports,Cycling Helmet,4,68.19,272.76
1584,2024-05-02,Customer 45,East,Sports,Yoga Mat,4,61.48,245.92
1266,2024-02-26,Customer 11,South,Home & Kitchen,Coffee Maker,3,57.98,173.94
1334,2024-03-11,Customer 15,West,Books,Biography,2,14.41,28.82
1175,2024-02-07,Customer 12,North,Home & Kitchen,Blender,2,82.76,165.52
1148,2024-02-03,Customer 9,North,Books,Fiction Novel,1,21.31,21.31
2436,2024-11-17,Customer 58,West,Electronics,4K Monitor,1,138.35,191.6
1708,2024-05-30,Customer 37,West,Books,Biography,4,18.45,73.8
2264,2024-10-08,Customer 46,West,Electronics,Laptop Stand,3,147.02,441.06
1863,2024-07-09,Customer 22,West,Apparel,Wool Sweater,2,50.18,100.36
2588,2024-12-22,Customer 53,West,Apparel,Cotton T-Shirt,2,39.62,103.69
1016,2024-01-04,Customer 36,South,Home & Kitchen,Cookware Set,2,78.33,156.66
1853,2024-07-05,Customer 30,West,Sports,Yoga Mat,1,68.83,68.83
1197,2024-02-12,Customer 33,West,Home & Kitchen,Air Fryer,4,70.11,280.44
1061,2024-01-15,Customer 35,East,Home & Kitchen,Air Fryer,2,77.33,154.66
2407,2024-11-08,Customer 41,West,Apparel,Running Shoes,4,48.07,287.29
2609,2024-12-26,Customer 29,South,Apparel,Cotton T-Shirt,2,52.43,186.73
1070,2024-01-16,Customer 20,North,Sports,Yoga Mat,4,46.24,184.96
1073,2024-01-16,Customer 39,North,Electronics,Laptop Stand,1,150.38,150.38
1896,2024-07-17,Customer 33,West,Sports,Cycling Helmet,2,61.77,123.54
1816,2024-06-25,Customer 8,South,Electronics,Bluetooth Speaker,2,128.2,256.4
2468,2024-11-25,Customer 13,North,Apparel,Cotton T-Shirt,3,51.02,215.48
2192,2024-09-22,Customer 52,South,Home & Kitchen,Blender,3,67.77,203.31
2450,2024-11-20,Customer 51,North,Sports,Cycling Helmet,1,70.91,113.74
1069,2024-01-16,Customer 40,South,Books,Cookbook,3,16.34,49.02
2257,2024-10-07,Customer 28,West,Sports,Tennis Racket,4,69.59,278.36
1573,2024-04-30,Customer 45,South,Sports,Cycling Helmet,1,49.44,49.44
2047,2024-08-19,Customer 24,East,Apparel,Denim Jacket,1,57.45,57.45
2146,2024-09-13,Customer 43,East,Books,Cookbook,2,15.72,31.44
1603,2024-05-06,Customer 6,West,Electronics,4K Monitor,1,133.77,133.77
2420,2024-11-12,Customer 6,East,Apparel,Cotton T-Shirt,1,36.48,65.31
1103,2024-01-24,Customer 15,West,Books,Biography,1,23.13,23.13
1157,2024-02-04,Customer 25,North,Home & Kitchen,Blender,4,84.59,-50.0
2339,2024-10-25,Customer 26,East,Books,Biography,4,21.43,85.72
1697,2024-05-27,Customer 21,West,Books,Biography,1,18.4,18.4
2608,2024-12-26,Customer 30,North,Home & Kitchen,Cookware Set,3,77.96,305.67
1854,2024-07-05,Customer 39,East,Home & Kitchen,Coffee Maker,2,90.19,180.38
1003,2024-01-01,Customer 16,East,Apparel,Denim Jacket,4,47.35,189.4
1393,2024-03-24,Customer 24,North,Apparel,Wool Sweater,2,44.3,88.6
1965,2024-08-02,Customer 33,South,Sports,Yoga Mat,4,46.94,187.76
1925,2024-07-24,Customer 12,North,Sports,Dumbbell Set,1,53.69,53.69
1154,2024-02-04,Customer 1,North,Books,Fiction Novel,1,15.89,15.89
2337,2024-10-25,Customer 7,West,Electronics,Wireless Earbuds,1,117.31,117.31
1046,2024-01-11,Customer 23,East,Home & Kitchen,Coffee Maker,500,89.65,179.3
1781,2024-06-18,Customer 51,West,Sports,Cycling Helmet,2,68.27,136.54
1168,2024-02-06,Customer 34,South,Electronics,Laptop Stand,4,112.71,450.84
2419,2024-11-11,Customer 23,North,Apparel,Running Shoes,2,39.8,131.34
1193,2024-02-11,Customer 32,East,Home & Kitchen,Blender,3,67.33,201.99
2056,2024-08-21,Customer 6,East,Home & Kitchen,Blender,3,64.93,194.79
2155,2024-09-14,Customer 1,South,Books,Biography,3,16.73,50.19
2415,2024-11-10,Customer 26,West,Sports,Yoga Mat,2,46.36,141.41
2494,2024-12-01,Customer 37,South,Books,Fiction Novel,3,19.14,101.23
1328,2024-03-10,Customer 55,East,Electronics,Bluetooth Speaker,3,105.66,316.98
1841,2024-07-01,Customer 27,East,Books,Fiction Novel,4,21.46,85.84
1147,2024-02-02,Customer 26,East,Apparel,Running Shoes,4,51.97,207.88
1554,2024-04-25,Customer 8,South,Home & Kitchen,Cookware Set,4,64.11,256.44
1037,2024-01-09,Customer 27,North,Electronics,Laptop Stand,1,126.93,126.93
1050,2024-01-11,Customer 45,West,Electronics,Bluetooth Speaker,4,127.4,509.6
1216,2024-02-15,Customer 43,South,Sports,Yoga Mat,4,47.62,190.48
1137,2024-01-30,Customer 14,North,Home & Kitchen,Air Fryer,4,66.95,267.8
1324,2024-03-08,Customer 31,East,Electronics,Bluetooth Speaker,4,143.18,572.72
1733,2024-06-06,Customer 41,South,Apparel,Running Shoes,2,48.34,96.68
1897,2024-07-17,Customer 41,West,Books,Biography,4,14.41,57.64
2018,2024-08-13,Customer 25,South,Apparel,Cotton T-Shirt,3,54.28,162.84
1891,2024-07-16,Customer 3,North,Books,Cookbook,4,21.81,87.24
1985,2024-08-07,Customer 34,West,Home & Kitchen,Air Fryer,1,85.01,85.01
1318,2024-03-07,Customer 33,East,Home & Kitchen,Cookware Set,1,71.4,71.4
2550,2024-12-13,Customer 7,West,Sports,Yoga Mat,1,61.14,99.71
2421,2024-11-12,Customer 18,West,Home & Kitchen,Air Fryer,2,76.9,250.31
1902,2024-07-19,Customer 55,South,Home & Kitchen,Blender,2,62.24,124.48
2512,2024-12-04,Customer 38,West,Sports,Cycling Helmet,4,48.51,281.21
1755,2024-06-12,Customer 8,East,Home & Kitchen,Coffee Maker,4,59.17,236.68
2242,2024-10-04,Customer 3,South,Apparel,Cotton T-Shirt,2,57.78,115.56
1972,2024-08-04,Customer 30,North,Electronics,Wireless Earbuds,1,104.24,104.24
1687,2024-05-25,Customer 6,West,Sports,Cycling Helmet,3,63.85,191.55
2087,2024-08-29,Customer 59,South,Home & Kitchen,Coffee Maker,2,56.13,112.26
2632,2024-12-30,Customer 38,East,Books,Self-Help Guide,1,20.0,33.09
2011,2024-08-12,Customer 8,East,Books,Cookbook,4,15.6,62.4
1361,2024-03-16,Customer 24,South,Apparel,Denim Jacket,3,51.33,153.99
1774,2024-06-17,Customer 15,North,Sports,Yoga Mat,1,61.12,61.12
1264,2024-02-25,Customer 1,South,Home & Kitchen,Cookware Set,2,62.8,125.6
1400,2024-03-25,Customer 24,South,Apparel,Denim Jacket,1,57.14,57.14
1356,2024-03-15,Customer 27,West,Home & Kitchen,Cookware Set,4,68.04,272.16
1986,2024-08-07,Customer 16,East,Sports,Tennis Racket,1,65.69,65.69
1087,2024-01-19,Customer 50,North,Sports,Dumbbell Set,2,54.65,109.3
1749,2024-06-10,Customer 9,East,Sports,Dumbbell Set,3,46.24,138.72
2364,2024-10-31,Customer 34,South,Electronics,Bluetooth Speaker,4,128.59,514.36
1247,2024-02-22,Customer 21,South,Sports,Tennis Racket,3,46.38,139.14
1416,2024-03-29,Customer 52,East,Sports,Dumbbell Set,1,48.97,48.97
2591,2024-12-22,Customer 56,East,Books,Fiction Novel,4,14.73,98.18
1065,2024-01-15,Customer 40,South,Apparel,Running Shoes,3,48.68,146.04
1303,2024-03-04,Customer 56,West,Sports,Cycling Helmet,2,59.67,119.34
1170,2024-02-07,Customer 48,North,Apparel,Running Shoes,4,39.21,156.84
1667,2024-05-21,Customer 37,East,Home & Kitchen,Cookware Set,4,86.38,345.52
2246,2024-10-05,Customer 60,East,Books,Cookbook,3,18.16,54.48
1464,2024-04-08,Customer 51,West,Books,Cookbook,1,18.16,18.16
2517,2024-12-06,Customer 57,North,Apparel,Wool Sweater,2,40.77,136.89
2552,2024-12-14,Customer 34,North,Apparel,Cotton T-Shirt,4,46.28,276.66
1930,2024-07-25,Customer 6,East,Sports,Cycling Helmet,3,68.99,206.97
1631,2024-05-12,Customer 5,East,Home & Kitchen,Blender,1,83.05,83.05
2611,2024-12-26,Customer 25,North,Books,Biography,3,15.58,63.13
1500,2024-04-14,Customer 34,South,Home & Kitchen,Coffee Maker,2,64.43,128.86
2006,2024-08-11,Customer 30,North,Books,Biography,1,20.67,20.67
1343,2024-03-12,Customer 22,East,Electronics,Wireless Earbuds,3,139.99,419.97
1750,2024-06-10,Customer 45,West,Apparel,Running Shoes,1,47.94,47.94
1648,2024-05-18,Customer 31,North,Sports,Tennis Racket,3,45.82,137.46
1522,2024-04-19,Customer 46,South,Apparel,Running Shoes,3,48.78,146.34
1703,2024-05-29,Customer 9,East,Books,Fiction Novel,2,20.74,41.48
2107,2024-09-03,Customer 20,South,Books,Cookbook,3,16.51,49.53
2297,2024-10-17,Customer 26,North,Sports,Tennis Racket,3,71.14,213.42
1199,2024-02-12,Customer 34,North,Home & Kitchen,Blender,1,84.63,84.63
1623,2024-05-10,Customer 52,East,Apparel,Wool Sweater,2,51.35,102.7
1263,2024-02-25,Customer 53,East,Books,Biography,3,16.29,48.87
1898,2024-07-17,Customer 40,West,Sports,Dumbbell Set,1,48.96,48.96
2599,2024-12-24,Customer 19,South,Home & Kitchen,Air Fryer,2,77.46,265.27
1908,2024-07-20,Customer 29,North,Books,Cookbook,2,22.57,45.14
1427,2024-03-31,Customer 4,East,Books,Fiction Novel,3,16.2,48.6
1596,2024-05-04,Customer 19,West,Apparel,Wool Sweater,3,52.57,157.71
2481,2024-11-27,Customer 56,North,Electronics,Bluetooth Speaker,2,118.05,335.87
2577,2024-12-20,Customer 31,East,Apparel,Wool Sweater,1,42.56,65.71
1688,2024-05-25,Customer 4,South,Apparel,Denim Jacket,2,57.05,114.1
2469,2024-11-25,,South,Books,Biography,2,15.99,53.02
1153,2024-02-03,Customer 22,North,Sports,Tennis Racket,1,51.79,938.2471738673981
1250,2024-02-23,Customer 50,East,Sports,Tennis Racket,4,58.27,233.08
2362,2024-10-30,Customer 47,East,Electronics,Laptop Stand,3,120.47,361.41
2218,2024-09-28,Customer 18,North,Apparel,Wool Sweater,3,36.44,109.32
1642,2024-05-16,Customer 35,East,Books,Self-Help Guide,3,21.79,65.37
2325,2024-10-23,Customer 20,East,Sports,Dumbbell Set,3,56.14,168.42
1740,2024-06-09,Customer 28,South,Home & Kitchen,Coffee Maker,1,89.8,89.8
1752,2024-06-11,Customer 40,South,Sports,Dumbbell Set,2,66.14,132.28
1809,2024-06-24,Customer 18,West,Apparel,Running Shoes,4,56.29,225.16
1317,2024-03-07,Customer 6,East,Sports,Dumbbell Set,1,68.2,68.2
1847,2024-07-03,Customer 57,West,Home & Kitchen,Blender,3,65.93,197.79
1458,2024-04-06,Customer 6,North,Sports,Dumbbell Set,4,59.86,239.44
1471,2024-04-09,Customer 60,West,Electronics,Bluetooth Speaker,1,138.26,138.26
2198,2024-09-23,Customer 40,South,Home & Kitchen,Air Fryer,4,59.95,239.8
1389,2024-03-24,Customer 49,West,Books,Fiction Novel,4,20.23,80.92
1761,2024-06-14,Customer 23,North,Books,Self-Help Guide,1,14.43,14.43
1566,2024-04-28,Customer 19,West,Sports,Tennis Racket,4,59.38,237.52
2112,2024-09-04,Customer 15,East,Electronics,Wireless Earbuds,4,117.7,470.8
1229,2024-02-17,Customer 31,North,Sports,Cycling Helmet,1,51.64,51.64
2592,2024-12-23,Customer 44,East,Electronics,4K Monitor,3,142.59,631.87
1719,2024-06-02,Customer 1,South,Apparel,Running Shoes,2,45.05,90.1
1027,2024-01-07,Customer 8,West,Books,Fiction Novel,2,20.32,40.64
1288,2024-03-01,Customer 41,North,Apparel,Cotton T-Shirt,1,40.8,40.8
1921,2024-07-23,Customer 6,East,Sports,Tennis Racket,1,53.18,53.18
1072,2024-01-16,Customer 46,North,Electronics,Wireless Earbuds,4,103.99,415.96
2161,2024-09-16,Customer 6,North,Home & Kitchen,Blender,1,85.49,85.49
2055,2024-08-20,Customer 29,South,Electronics,Wireless Earbuds,2,148.11,296.22
2156,2024-09-14,Customer 13,West,Electronics,Wireless Earbuds,4,110.34,441.36
2305,2024-10-19,Customer 32,North,Electronics,4K Monitor,3,133.56,400.68
1335,2024-03-11,Customer 58,West,Apparel,Denim Jacket,2,37.34,74.68
1702,2024-05-28,Customer 29,West,Books,Cookbook,1,22.42,22.42
1150,2024-02-03,Customer 47,West,Home & Kitchen,Blender,2,68.03,136.06
2027,2024-08-15,Customer 42,South,Electronics,Bluetooth Speaker,4,116.14,464.56
2342,2024-10-26,Customer 19,South,Sports,Tennis Racket,4,61.4,245.6
2170,2024-09-19,Customer 33,West,Books,Fiction Novel,2,14.54,29.08
1931,2024-07-25,Customer 27,East,Electronics,Laptop Stand,1,106.94,106.94
2070,2024-08-25,Customer 17,North,Electronics,Wireless Earbuds,3,107.91,323.73
1269,2024-02-26,Customer 55,East,Books,Fiction Novel,1,18.84,18.84
1181,2024-02-08,Customer 29,West,Home & Kitchen,Coffee Maker,1,71.68,71.68
1357,2024-03-15,Customer 55,North,Books,Self-Help Guide,4,19.39,77.56
2015,2024-08-13,Customer 22,East,Apparel,Wool Sweater,2,45.91,91.82
1957,2024-08-01,Customer 22,North,Books,Biography,3,17.78,53.34
1099,2024-01-22,Customer 10,North,Books,Biography,3,16.79,50.37
2514,2024-12-05,Customer 2,South,Books,Self-Help Guide,3,22.2,115.67
1321,2024-03-07,Customer 43,North,Books,Biography,4,21.73,86.92
1727,2024-06-05,Customer 32,West,Books,Fiction Novel,3,22.37,67.11
1783,2024-06-18,Customer 34,South,Books,Fiction Novel,3,15.4,46.2
2116,2024-09-05,Customer 44,East,Books,Fiction Novel,1,15.59,15.59
2075,2024-08-26,Customer 52,East,Apparel,Running Shoes,1,50.84,50.84
1188,2024-02-09,Customer 53,West,Home & Kitchen,Cookware Set,1,74.26,74.26
2330,2024-10-24,Customer 41,North,Home & Kitchen,Coffee Maker,1,78.29,78.29
1499,2024-04-14,Customer 36,West,Electronics,Wireless Earbuds,2,137.62,275.24
1485,2024-04-12,Customer 54,East,Home & Kitchen,Coffee Maker,3,87.64,262.92
1169,2024-02-06,Customer 41,East,Home & Kitchen,Cookware Set,2,70.11,140.22
1160,2024-02-04,Customer 57,West,Sports,Dumbbell Set,1,70.22,70.22
1910,2024-07-20,Customer 12,South,Home & Kitchen,Blender,1,81.13,81.13
1140,2024-01-31,Customer 40,South,Sports,Tennis Racket,3,49.54,148.62
1268,2024-02-26,Customer 60,East,Home & Kitchen,Cookware Set,2,78.99,157.98
1121,2024-01-27,Customer 34,North,Electronics,Bluetooth Speaker,4,131.59,526.36
2043,2024-08-18,Customer 43,South,Sports,Dumbbell Set,3,48.64,145.92
1040,2024-01-10,Customer 5,North,Sports,Tennis Racket,1,58.29,58.29
2034,2024-08-16,Customer 8,South,Electronics,Bluetooth Speaker,4,137.68,550.72
1670,2024-05-22,Customer 30,North,Apparel,Wool Sweater,4,56.69,226.76
1355,2024-03-15,,West,Apparel,Running Shoes,2,42.6,85.2
1490,2024-04-12,Customer 20,South,Books,Fiction Novel,4,21.57,86.28
1208,2024-02-13,Customer 40,East,Home & Kitchen,Coffee Maker,1,61.79,61.79
1487,2024-04-12,Customer 4,South,Sports,Dumbbell Set,2,44.23,88.46
2457,2024-11-22,Customer 6,West,Home & Kitchen,Air Fryer,3,86.72,365.32
1933,2024-07-25,,North,Books,Self-Help Guide,1,20.97,20.97
1407,2024-03-27,Customer 28,South,Sports,Cycling Helmet,2,63.67,127.34
1411,2024-03-28,Customer 30,North,Apparel,Running Shoes,1,41.58,41.58
2131,2024-09-08,Customer 17,South,Books,Biography,1,17.12,17.12
2127,2024-09-07,Customer 57,North,Electronics,Laptop Stand,1,154.99,154.99
2244,2024-10-05,Customer 16,North,Apparel,Wool Sweater,1,37.54,37.54
2548,2024-12-13,Customer 7,East,Home & Kitchen,Cookware Set,3,58.94,260.76
1973,2024-08-04,Customer 8,West,Apparel,Wool Sweater,2,39.73,79.46
2053,2024-08-20,Customer 30,East,Home & Kitchen,Cookware Set,2,63.48,126.96
1577,2024-04-30,Customer 32,East,Apparel,Running Shoes,2,57.01,114.02
2578,2024-12-20,Customer 40,West,Books,Cookbook,4,20.43,135.53
2472,2024-11-26,Customer 23,West,Sports,Tennis Racket,4,61.44,425.41
1232,2024-02-18,Customer 19,West,Electronics,Wireless Earbuds,2,134.16,268.32
2500,2024-12-03,Customer 23,South,Sports,Cycling Helmet,2,52.69,178.83
1239,2024-02-20,Customer 21,South,Apparel,Cotton T-Shirt,3,36.1,108.3
2503,2024-12-03,Customer 49,West,Electronics,Bluetooth Speaker,3,102.9,539.84
2000,2024-08-10,Customer 31,West,Sports,Dumbbell Set,1,59.38,59.38
1916,2024-07-22,Customer 26,West,Sports,Tennis Racket,2,46.67,93.34
1194,2024-02-11,,East,Sports,Cycling Helmet,4,66.08,264.32
1478,2024-04-11,Customer 32,East,Home & Kitchen,Air Fryer,3,64.41,193.23
2582,2024-12-21,Customer 38,West,Apparel,Wool Sweater,3,52.58,280.48
1587,2024-05-02,Customer 32,South,Apparel,Cotton T-Shirt,2,43.43,86.86
1923,2024-07-24,Customer 19,West,Electronics,4K Monitor,3,134.7,404.1
2122,2024-09-05,Customer 44,North,Electronics,Wireless Earbuds,4,96.19,384.76
1893,2024-07-16,Customer 4,West,Home & Kitchen,Blender,3,63.39,190.17
1942,2024-07-28,Customer 17,East,Electronics,Laptop Stand,3,138.42,415.26
1131,2024-01-29,Customer 34,South,Apparel,Cotton T-Shirt,4,51.25,205.0
1332,2024-03-11,Customer 5,North,Apparel,Running Shoes,1,37.89,37.89
1963,2024-08-02,Customer 50,North,Home & Kitchen,Blender,3,66.57,199.71
1443,2024-04-03,Customer 7,North,Sports,Cycling Helmet,4,64.92,259.68
1600,2024-05-05,Customer 9,North,Apparel,Wool Sweater,1,48.94,48.94
1850,2024-07-04,Customer 59,North,Home & Kitchen,Blender,4,87.87,351.48
1709,2024-05-31,Customer 41,West,Electronics,Wireless Earbuds,1,133.33,133.33
1602,2024-05-06,Customer 56,West,Apparel,Cotton T-Shirt,4,46.92,187.68
1533,2024-04-20,Customer 18,East,Home & Kitchen,Cookware Set,4,84.86,339.44
2121,2024-09-05,Customer 38,North,Home & Kitchen,Blender,2,61.2,122.4
2387,2024-11-05,Customer 56,East,Home & Kitchen,Blender,3,76.05,340.82
1198,2024-02-12,Customer 47,South,Sports,Dumbbell Set,2,58.9,117.8
1059,2024-01-14,Customer 19,West,Electronics,Wireless Earbuds,2,147.77,295.54
1881,2024-07-13,Customer 4,North,Books,Self-Help Guide,2,15.45,30.9
1562,2024-04-27,Customer 8,East,Sports,Yoga Mat,3,51.22,153.66
2319,2024-10-22,Customer 1,South,Electronics,Bluetooth Speaker,4,122.93,491.72
1883,2024-07-14,Customer 4,North,Books,Fiction Novel,3,23.16,69.48
1107,2024-01-24,Customer 48,West,Home & Kitchen,Air Fryer,4,82.64,330.56
1210,2024-02-14,Customer 37,North,Electronics,Laptop Stand,2,117.39,234.78
2275,2024-10-11,Customer 57,North,Books,Self-Help Guide,2,22.04,44.08
1608,2024-05-08,,West,Home & Kitchen,Coffee Maker,4,61.62,246.48
1737,2024-06-07,Customer 20,West,Sports,Tennis Racket,2,45.05,90.1
1913,2024-07-21,Customer 36,East,Apparel,Wool Sweater,3,54.17,162.51
2508,2024-12-04,Customer 41,East,Apparel,Running Shoes,2,45.38,152.83
1477,2024-04-10,Customer 15,West,Books,Cookbook,1,15.43,15.43
1006,2024-01-01,Customer 7,East,Apparel,Wool Sweater,1,36.8,36.8
1422,2024-03-30,Customer 38,West,Sports,Tennis Racket,3,45.91,137.73
1977,2024-08-05,Customer 31,South,Electronics,4K Monitor,1,136.9,136.9
2083,2024-08-27,Customer 28,North,Books,Cookbook,4,22.88,91.52
2489,2024-11-29,Customer 45,East,Apparel,Denim Jacket,1,48.22,68.78
2091,2024-08-30,Customer 54,West,Home & Kitchen,Air Fryer,1,59.72,59.72
1811,2024-06-25,Customer 22,West,Sports,Dumbbell Set,3,45.8,137.4
1371,2024-03-18,Customer 7,South,Sports,Tennis Racket,3,53.5,160.5
2425,2024-11-14,Customer 4,West,Apparel,Cotton T-Shirt,3,36.81,150.71
2181,2024-09-21,Customer 17,East,Home & Kitchen,Coffee Maker,4,73.51,294.04
1744,2024-06-09,Customer 18,West,Books,Biography,2,19.67,39.34
1409,2024-03-27,Customer 28,North,Books,Self-Help Guide,1,23.31,23.31
1712,2024-06-01,Customer 31,South,Sports,Dumbbell Set,1,67.58,67.58
1472,2024-04-09,Customer 53,South,Books,Fiction Novel,3,20.98,62.94
2370,2024-11-01,Customer 10,North,Home & Kitchen,Coffee Maker,3,87.37,414.62
2013,2024-08-12,Customer 55,South,Electronics,Bluetooth Speaker,1,97.72,97.72
1610,2024-05-08,Customer 41,East,Electronics,Laptop Stand,2,110.54,221.08
2095,2024-08-30,Customer 22,North,Apparel,Denim Jacket,4,49.38,197.52
2428,2024-11-15,Customer 39,North,Books,Cookbook,2,22.03,58.82
2097,2024-08-31,Customer 9,South,Sports,Tennis Racket,4,64.58,258.32
1456,2024-04-05,Customer 40,South,Books,Cookbook,4,20.58,82.32
2465,2024-11-24,Customer 14,South,Sports,Yoga Mat,2,66.31,204.35
2526,2024-12-08,Customer 31,East,Sports,Yoga Mat,1,44.85,71.31
1081,2024-01-18,Customer 8,East,Electronics,4K Monitor,3,155.81,467.43
1609,2024-05-08,Customer 17,West,Sports,Tennis Racket,2,49.42,98.84
1144,2024-02-01,Customer 39,South,Apparel,Denim Jacket,4,46.72,186.88
1796,2024-06-22,Customer 34,South,Electronics,4K Monitor,2,98.36,196.72
2462,2024-11-23,Customer 38,East,Apparel,Wool Sweater,4,56.67,325.61
1710,2024-05-31,Customer 50,North,Electronics,4K Monitor,2,121.25,242.5
1768,2024-06-16,Customer 41,West,Books,Cookbook,3,20.93,62.79
1289,2024-03-01,Customer 29,East,Books,Fiction Novel,3,17.26,51.78
2455,2024-11-21,Customer 3,West,Books,Cookbook,1,23.04,37.66
1492,2024-04-13,Customer 55,South,Electronics,4K Monitor,3,116.84,350.52
2196,2024-09-23,Customer 52,West,Books,Self-Help Guide,1,15.18,15.18
2282,2024-10-13,Customer 7,West,Books,Fiction Novel,4,22.32,89.28
1829,2024-06-28,Customer 40,East,Home & Kitchen,Coffee Maker,2,66.74,133.48
1001,2024-01-01,Customer 53,South,Electronics,4K Monitor,4,145.27,581.08
1976,2024-08-04,Customer 21,West,Apparel,Denim Jacket,2,47.47,94.94
1982,2024-08-06,Customer 7,South,Apparel,Cotton T-Shirt,2,52.35,104.7
2251,2024-10-06,Customer 6,West,Sports,Yoga Mat,1,51.23,51.23
2456,2024-11-22,Customer 58,West,Home & Kitchen,Cookware Set,3,82.81,410.84
2478,2024-11-27,Customer 51,North,Sports,Tennis Racket,2,57.94,161.1
2258,2024-10-07,Customer 20,South,Sports,Tennis Racket,4,52.03,208.12
2490,2024-11-29,Customer 1,West,Apparel,Denim Jacket,4,57.85,366.87
1792,2024-06-20,Customer 26,West,Apparel,Running Shoes,4,55.39,221.56
1432,2024-04-01,Customer 2,West,Sports,Dumbbell Set,1,52.21,52.21
1187,2024-02-09,Customer 21,West,Books,Biography,1,19.75,19.75
